"TSUSA","Name","Edible","Imported","Exported","Years"
"0001107024","CATFISH NSPF FILLET FRESH/FROZEN","E","Y","-","1972-1988"
"0305645000","CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA SALTED > 6.8 KG","E","Y","-","2012-"
"0302692051","CATFISH (PANGASIUS) FRESH","E","Y","-","2004-2007"
"0302695001","CATFISH (ICTALURUS) FRESH","E","Y","-","2007-2012"
"0302695004","CATFISH (PANGASIUS) FRESH","E","Y","-","2007-2012"
"0302720000","CATFISH (ICTALURUS,PANGASIUS,SILURUS) FRESH","E","-","Y","2012-"
"0302721100","CATFISH (ICTALURUS,PANGASIUS,SILURUS) FRESH NOT > 6.8KG","E","Y","-","2012-"
"0302725001","CATFISH (ICTALURUS) FRESH","E","Y","-","2012-"
"0302725004","CATFISH (PANGASIUS) FRESH","E","Y","-","2012-"
"0302725034","CATFISH NSPF FRESH","E","Y","-","2012-"
"0303240000","CATFISH (ICTALURUS,PANGASIUS,SILURUS) FROZEN","E","-","Y","2012-"
"0303240010","CATFISH (ICTALURUS) FROZEN","E","Y","-","2012-"
"0303240020","CATFISH (PANGASIUS) FROZEN","E","Y","-","2012-"
"0303240050","CATFISH NSPF FROZEN","E","Y","-","2012-"
"0303790022","CATFISH (ICTALURUS) FROZEN","E","Y","-","2007-2012"
"0303790025","CATFISH (PANGASIUS) FROZEN","E","Y","-","2007-2012"
"0303792051","CATFISH (ICTALURUS) FROZEN","E","Y","-","2004-2007"
"0303792053","CATFISH (PANGASIUS) FROZEN","E","Y","-","2004-2007"
"0304104005","CATFISH (ICTALURUS) FILLET FRESH","E","Y","-","2005-2007"
"0304104007","CATFISH (PANGASIUS) FILLET FRESH","E","Y","-","2005-2007"
"0304105020","CATFISH NSPF FILLET FRESH","E","-","Y","2003-2007"
"0304190019","CATFISH (ICTALURUS) FILLET FRESH","E","Y","-","2007-2012"
"0304190022","CATFISH (PANGASIUS) FILLET FRESH","E","Y","-","2007-2012"
"0304195020","CATFISH NSPF FILLET FRESH","E","-","Y","2007-2011"
"0304206030","CATFISH NSPF FILLET FROZEN","E","Y","Y","1989-2004"
"0304206032","CATFISH (ICTALURUS) FILLET FROZEN","E","Y","-","2004-2007"
"0304206033","CATFISH (PANGASIUS) FILLET FROZEN","E","Y","-","2004-2007"
"0304206034","CATFISH (SILURIFORMES OTHER) FILLET FROZEN","E","Y","-","2004-2007"
"0304296030","CATFISH NSPF FILLET FROZEN","E","-","Y","2007-2011"
"0304296032","CATFISH (ICTALURUS) FILLET FROZEN","E","Y","-","2007-2012"
"0304296033","CATFISH (PANGASIUS) FILLET FROZEN","E","Y","-","2007-2012"
"0304296034","CATFISH (SILURIFORMES OTHER) FILLET FROZEN","E","Y","-","2007-2012"
"0304320000","CATFISH (ICTALURUS,PANGASIUS,SILURUS,CLARIAS) FILLET FRESH","E","-","Y","2012-"
"0304320010","CATFISH (ICTALURUS) FILLET FRESH","E","Y","-","2012-"
"0304320020","CATFISH (PANGASIUS) FILLET FRESH","E","Y","-","2012-"
"0304320090","CATFISH (SILURUS,CLARIAS) FILLET FRESH","E","Y","-","2012-"
"0304510000","CARP,CATFISH,EELS,SNAKEHEAD,TILAPIA MEAT FRESH","E","-","Y","2012-2016"
"0304510010","CATFISH (ICTALURUS) MEAT FRESH","E","Y","-","2012-2016"
"0304510015","CATFISH (PANGASIUS) MEAT FRESH","E","Y","-","2012-2016"
"0304510090","CARP,CATFISH,EELS,SNAKEHEAD MEAT FRESH","E","Y","-","2012-2016"
"0304510100","CARP,CATFISH,EELS,SNAKEHEAD,TILAPIA MEAT FRESH","E","-","Y","2017-"
