,year,month,product_name,country_name,volume_kg,value_USD,trade_type,census_country_code,edible_code,FAO_country_code,HTS_number,RFMO,trade_associations,US_customs_district_code,US_customs_district_name,month_number
0,2012,March,CATFISH (PANGASIUS) FROZEN,VIETNAM,73936,204302,IMP,5520,E,704,303240020,,"APEC, ASEAN",27,"LOS ANGELES, CA",3
1,2012,March,CATFISH NSPF FROZEN,VIETNAM,4817,11682,IMP,5520,E,704,303240050,,"APEC, ASEAN",32,"HONOLULU, HI",3
2,2012,March,CATFISH (ICTALURUS) FILLET FRESH,CHINA,15436,137700,IMP,5700,E,156,304320010,CCAMLR,"APEC, CCAMLR, ICCAT",13,"BALTIMORE, MD",3
3,2012,March,CATFISH (ICTALURUS) FILLET FRESH,CHINA,14764,108795,IMP,5700,E,156,304320010,CCAMLR,"APEC, CCAMLR, ICCAT",39,"CHICAGO, IL",3
4,2012,March,CATFISH (PANGASIUS) FILLET FRESH,VIETNAM,226457,697187,IMP,5520,E,704,304320020,,"APEC, ASEAN",27,"LOS ANGELES, CA",3
5,2012,March,"CATFISH (SILURUS,CLARIAS) FILLET FRESH",MEXICO,6100,9243,IMP,2010,E,484,304320090,IATTC,"APEC, IATTC, ICCAT, NAFTA, OECD",26,"NOGALES, AZ",3
6,2012,March,CATFISH (PANGASIUS) MEAT FRESH,CHINA,9250,33763,IMP,5700,E,156,304510015,CCAMLR,"APEC, CCAMLR, ICCAT",10,"NEW YORK, NY",3
7,2012,March,CATFISH (ICTALURUS) FILLET FROZEN,CHINA,100867,853076,IMP,5700,E,156,304620010,CCAMLR,"APEC, CCAMLR, ICCAT",4,"BOSTON, MA",3
8,2012,March,CATFISH (ICTALURUS) FILLET FROZEN,CHINA,17651,144688,IMP,5700,E,156,304620010,CCAMLR,"APEC, CCAMLR, ICCAT",10,"NEW YORK, NY",3
9,2012,March,CATFISH (ICTALURUS) FILLET FROZEN,CHINA,19732,155513,IMP,5700,E,156,304620010,CCAMLR,"APEC, CCAMLR, ICCAT",14,"NORFOLK, VA",3
10,2012,March,CATFISH (ICTALURUS) FILLET FROZEN,CHINA,19068,138400,IMP,5700,E,156,304620010,CCAMLR,"APEC, CCAMLR, ICCAT",18,"TAMPA, FL",3
11,2012,March,CATFISH (ICTALURUS) FILLET FROZEN,CHINA,37368,283024,IMP,5700,E,156,304620010,CCAMLR,"APEC, CCAMLR, ICCAT",27,"LOS ANGELES, CA",3
12,2012,March,CATFISH (ICTALURUS) FILLET FROZEN,CHINA,14764,107695,IMP,5700,E,156,304620010,CCAMLR,"APEC, CCAMLR, ICCAT",39,"CHICAGO, IL",3
13,2012,March,CATFISH (PANGASIUS) FILLET FROZEN,MEXICO,796,5117,IMP,2010,E,484,304620020,IATTC,"APEC, IATTC, ICCAT, NAFTA, OECD",23,"LAREDO, TX",3
14,2012,March,CATFISH (PANGASIUS) FILLET FROZEN,VIETNAM,1835539,6692449,IMP,5520,E,704,304620020,,"APEC, ASEAN",10,"NEW YORK, NY",3
15,2012,March,CATFISH (PANGASIUS) FILLET FROZEN,VIETNAM,17963,64871,IMP,5520,E,704,304620020,,"APEC, ASEAN",13,"BALTIMORE, MD",3
16,2012,March,CATFISH (PANGASIUS) FILLET FROZEN,VIETNAM,38231,134179,IMP,5520,E,704,304620020,,"APEC, ASEAN",14,"NORFOLK, VA",3
17,2012,March,CATFISH (PANGASIUS) FILLET FROZEN,VIETNAM,16241,61466,IMP,5520,E,704,304620020,,"APEC, ASEAN",16,"CHARLESTON, SC",3
