"","yrmonth","country","total_refusals","import_volume","import_volume_100k","import_volume_1M","year","month","USDA_transition01","USDA01","USDAxVolume","USDAxVolume100k","USDAxVolume1M","USDA_t01xVolume1M","country_cat"
"140","2014-01","BRAZIL",0,65433,0.65433,0.065433,"2014","01",0,0,0,0,0,0,"ROW"
"141","2014-01","CHINA",1,1410122,14.10122,1.410122,"2014","01",0,0,0,0,0,0,"CHINA"
"142","2014-01","THAILAND",0,600,0.006,0.0006,"2014","01",0,0,0,0,0,0,"THAILAND"
"143","2014-01","VIETNAM",0,10903306,109.03306,10.903306,"2014","01",0,0,0,0,0,0,"VIETNAM"
"144","2014-02","BANGLADESH",0,16330,0.1633,0.01633,"2014","02",0,0,0,0,0,0,"ROW"
"145","2014-02","BRAZIL",0,43622,0.43622,0.043622,"2014","02",0,0,0,0,0,0,"ROW"
"146","2014-02","BURMA",0,1459,0.01459,0.001459,"2014","02",0,0,0,0,0,0,"ROW"
"147","2014-02","CHINA",3,1105015,11.05015,1.105015,"2014","02",0,0,0,0,0,0,"CHINA"
"148","2014-02","PHILIPPINES",0,13732,0.13732,0.013732,"2014","02",0,0,0,0,0,0,"ROW"
"149","2014-02","VIETNAM",0,9559160,95.5916,9.55916,"2014","02",0,0,0,0,0,0,"VIETNAM"
"150","2014-03","CHINA",0,626745,6.26745,0.626745,"2014","03",0,0,0,0,0,0,"CHINA"
"151","2014-03","VIETNAM",0,10928025,109.28025,10.928025,"2014","03",0,0,0,0,0,0,"VIETNAM"
"152","2014-04","CHINA",3,557403,5.57403,0.557403,"2014","04",0,0,0,0,0,0,"CHINA"
"153","2014-04","PHILIPPINES",0,5640,0.0564,0.00564,"2014","04",0,0,0,0,0,0,"ROW"
"154","2014-04","THAILAND",0,5510,0.0551,0.00551,"2014","04",0,0,0,0,0,0,"THAILAND"
"155","2014-04","VIETNAM",3,4339117,43.39117,4.339117,"2014","04",0,0,0,0,0,0,"VIETNAM"
"156","2014-05","CHINA",6,774008,7.74008,0.774008,"2014","05",0,0,0,0,0,0,"CHINA"
"157","2014-05","VIETNAM",0,5158068,51.58068,5.158068,"2014","05",0,0,0,0,0,0,"VIETNAM"
"158","2014-06","CHINA",2,328623,3.28623,0.328623,"2014","06",0,0,0,0,0,0,"CHINA"
"159","2014-06","GUYANA",0,517,0.00517,0.000517,"2014","06",0,0,0,0,0,0,"ROW"
"160","2014-06","ICELAND",0,370,0.0037,0.00037,"2014","06",0,0,0,0,0,0,"ROW"
"161","2014-06","VIETNAM",0,5489998,54.89998,5.489998,"2014","06",0,0,0,0,0,0,"VIETNAM"
"162","2014-07","CHINA",0,70014,0.70014,0.070014,"2014","07",0,0,0,0,0,0,"CHINA"
"163","2014-07","ICELAND",0,654,0.00654,0.000654,"2014","07",0,0,0,0,0,0,"ROW"
"164","2014-07","VENEZUELA",0,6524,0.06524,0.006524,"2014","07",0,0,0,0,0,0,"ROW"
"165","2014-07","VIETNAM",0,7404833,74.04833,7.404833,"2014","07",0,0,0,0,0,0,"VIETNAM"
"166","2014-08","BRAZIL",0,21811,0.21811,0.021811,"2014","08",0,0,0,0,0,0,"ROW"
"167","2014-08","CHINA",3,133890,1.3389,0.13389,"2014","08",0,0,0,0,0,0,"CHINA"
